entite_privee,label,type,uri_wikidata,wd_label,score_confiance,statut
:QuentinFercoq,Quentin Fercoq,Athlete,http://www.wikidata.org/entity/Q50323655,,0.85,alignée (CSV)
:RafaelNadal,RafaelNadal,Athlete,http://www.wikidata.org/entity/Q179477,wd:Q179477,0.99,alignée
:RebekaSziliczei-nemet,Rebeka Sziliczei-Nemet,Athlete,http://www.wikidata.org/entity/Q50323388,,0.85,alignée (CSV)
:ReiZulu,Rei Zulu,Athlete,http://www.wikidata.org/entity/Q7309872,,0.85,alignée (CSV)
:RinaYamana,Rina Yamana,Athlete,http://www.wikidata.org/entity/Q50323407,,0.85,alignée (CSV)
:RobertsKrūzbergs,Roberts Krūzbergs,Athlete,http://www.wikidata.org/entity/Q46327505,,0.85,alignée (CSV)
:RogerFederer,RogerFederer,Athlete,http://www.wikidata.org/entity/Q171277,wd:Q171277,0.99,alignée
:RolandGarros,Roland Garros,Competition,http://www.wikidata.org/entity/Q192785,,0.85,alignée (CSV)
:SelmaPoutsma,Selma Poutsma,Athlete,http://www.wikidata.org/entity/Q50323417,,0.85,alignée (CSV)
:SeoYi-ra,Seo Yi-ra,Athlete,http://www.wikidata.org/entity/Q28043030,,0.85,alignée (CSV)
:SerenaWilliams,SerenaWilliams,Athlete,http://www.wikidata.org/entity/Q32684,wd:Q32684,0.99,alignée
:ShervinSaedinia,Shervin Saedinia,Athlete,http://www.wikidata.org/entity/Q122893824,,0.85,alignée (CSV)
:ShinDong-min,Shin Dong-min,Athlete,http://www.wikidata.org/entity/Q133835304,,0.85,alignée (CSV)
:ShutaMatsudu,Shuta Matsudu,Athlete,http://www.wikidata.org/entity/Q58381960,,0.85,alignée (CSV)
:ShōgoMiyata,Shōgo Miyata,Athlete,http://www.wikidata.org/entity/Q81905482,,0.85,alignée (CSV)
:SidneyChu,Sidney Chu,Athlete,http://www.wikidata.org/entity/Q58389503,,0.85,alignée (CSV)
